Episode,Season,Title,Primary Scope,Format,Lab Note
EP-32,S4,Static Choices,"Network, host, default, floating static routes",Story session,Optional separate lab where applicable
EP-33,S4,IPv6 Takes the Same Journey,IPv6 static routing,Story session,Optional separate lab where applicable
EP-34,S4,Why Dynamic Routing Exists,IGP concepts and OSPF purpose,Story session,Optional separate lab where applicable
EP-35,S4,Meeting the Neighbour,OSPF adjacency requirements and router ID,Story session,Optional separate lab where applicable
EP-36,S4,The Campus Election,"Broadcast networks, DR and BDR",Story session,Optional separate lab where applicable
EP-37,S4,No Election Needed,Point-to-point OSPF and verification,Story session,Optional separate lab where applicable
EP-38,S4,First-Hop Survival,FHRP purpose and concepts,Story session,Optional separate lab where applicable
EP-39,S4,The Routed Campus Review,Season integration and troubleshooting,Story session,Optional separate lab where applicable
EP-40,S5,An Address on Arrival,"DHCP, DNS, DHCP relay",Story session,Optional separate lab where applicable
EP-41,S5,One Public Face,Inside source NAT using static and pools,Story session,Optional separate lab where applicable
EP-42,S5,Everybody Check the Clock,NTP client and server,Story session,Optional separate lab where applicable
EP-43,S5,The Network Starts Talking,"SNMP, syslog, severity and facilities",Story session,Optional separate lab where applicable
EP-44,S5,Remote but Secure,"SSH, management access, TFTP and FTP",Story session,Optional separate lab where applicable
EP-45,S5,When the Queue Gets Crowded,"QoS classification, marking, queuing, policing, shaping",Story session,Optional separate lab where applicable
EP-46,S5,The Wireless Building,"RF, channels, SSIDs, APs, WLCs, architectures and modes",Story session,Optional separate lab where applicable
EP-47,S5,The WLAN Screen,"WLAN GUI, security, QoS, advanced settings",Story session,Optional separate lab where applicable
EP-48,S5,Managed Services Review,Season integration and review,Story session,Optional separate lab where applicable
EP-49,S6,What Could Go Wrong?,"Threats, vulnerabilities, exploits, mitigations, security programs",Story session,Optional separate lab where applicable
EP-50,S6,"Who Are You, and What Can You Do?","AAA, local access, password policy, MFA and certificates",Story session,Optional separate lab where applicable
EP-51,S6,Only These Packets,Standard and extended ACLs,Story session,Optional separate lab where applicable
EP-52,S6,Trust the Switch Port,"Port security, DHCP snooping, DAI",Story session,Optional separate lab where applicable
EP-53,S6,Secure the Air,"WPA, WPA2, WPA3 and WPA2-PSK WLAN",Story session,Optional separate lab where applicable
EP-54,S6,The Encrypted Road,Remote-access and site-to-site IPsec VPN concepts,Story session,Optional separate lab where applicable
EP-55,S6,Security Review,Season integration and review,Story session,Optional separate lab where applicable
EP-56,S7,Too Many Devices to Touch,"Automation impact, traditional vs controller-based, control/data planes",Story session,Optional separate lab where applicable
EP-57,S7,"APIs, JSON and the Automated Kitchen","Underlay, overlay, fabric, northbound/southbound APIs, REST, CRUD, JSON, Ansible, Terraform, AI/ML",Story session,Optional separate lab where applicable
EP-58,S7,The Final Customer Design,"Integrated design, troubleshooting and readiness assessment",Story session,Optional separate lab where applicable
